year,month,total
2014,january,54
2014,february,37
2014,march,56
2014,april,63
2014,may,44
2014,june,50
2014,july,27
2014,august,39
2014,september,44
2014,october,56
2014,november,47
2014,december,47
2015,january,38
2015,february,40
2015,march,57
2015,april,42
2015,may,44
2015,june,66
2015,july,38
2015,august,37
2015,september,37
2015,october,30
2015,november,36
2015,december,50
2016,january,33
2016,february,29
2016,march,44
2016,april,40
2016,may,65
2016,june,39
2016,july,61
2016,august,46
2016,september,26
2016,october,60
2016,november,40
2016,december,43
2017,january,49
2017,february,45
2017,march,61
2017,april,27
2017,may,28
2017,june,38
2017,july,34
2017,august,67
2017,september,61
2017,october,46
2017,november,46
2017,december,34
2018,january,45
2018,february,43
2018,march,65
2018,april,64
2018,may,65
2018,june,48
2018,july,63
2018,august,58
2018,september,64
2018,october,62
2018,november,58
2018,december,66
2019,january,65
2019,february,77
2019,march,79
2019,april,55
2019,may,91
2019,june,89
2019,july,72
2019,august,92
2019,september,100
2019,october,106
2019,november,120
2019,december,120
2020,january,104
2020,february,134
2020,march,98
2020,april,139
2020,may,221
2020,june,192
2020,july,184
2020,august,171
2020,september,178
2020,october,152
2020,november,200
2020,december,210
2021,january,188
2021,february,160
2021,march,161
2021,april,136
2021,may,129
2021,june,135
2021,july,123
2021,august,135
2021,september,158
2021,october,199
2021,november,226
2021,december,216
2022,january,211
2022,february,197
2022,march,190
2022,april,175
2022,may,165
2022,june,180
2022,july,132
2022,august,138
2022,september,185
2022,october,201
2022,november,211
2022,december,188
2023,january,174
2023,february,183
2023,march,154
2023,april,182
2023,may,177
2023,june,117
2023,july,128
2023,august,171
2023,september,190
2023,october,173
2023,november,155
2023,december,121
